file_name,platform,emoji,emoji_name
grinning_face_0.png,Apple,😀,grinning face
grinning_face_0.png,Google,😀,grinning face
grinning_face_0.png,Facebook,😀,grinning face
grinning_face_0.png,Windows,😀,grinning face
grinning_face_0.png,Twitter,😀,grinning face
grinning_face_0.png,JoyPixels,😀,grinning face
grinning_face_0.png,Samsung,😀,grinning face
grinning_face_with_big_eyes_1.png,Apple,😃,grinning face with big eyes
grinning_face_with_big_eyes_1.png,Google,😃,grinning face with big eyes
grinning_face_with_big_eyes_1.png,Facebook,😃,grinning face with big eyes
grinning_face_with_big_eyes_1.png,Windows,😃,grinning face with big eyes
grinning_face_with_big_eyes_1.png,Twitter,😃,grinning face with big eyes
grinning_face_with_big_eyes_1.png,JoyPixels,😃,grinning face with big eyes
grinning_face_with_big_eyes_1.png,Samsung,😃,grinning face with big eyes
grinning_face_with_smiling_eyes_2.png,Apple,😄,grinning face with smiling eyes
grinning_face_with_smiling_eyes_2.png,Google,😄,grinning face with smiling eyes
grinning_face_with_smiling_eyes_2.png,Facebook,😄,grinning face with smiling eyes
grinning_face_with_smiling_eyes_2.png,Windows,😄,grinning face with smiling eyes
grinning_face_with_smiling_eyes_2.png,Twitter,😄,grinning face with smiling eyes
grinning_face_with_smiling_eyes_2.png,JoyPixels,😄,grinning face with smiling eyes
grinning_face_with_smiling_eyes_2.png,Samsung,😄,grinning face with smiling eyes
beaming_face_with_smiling_eyes_3.png,Apple,😁,beaming face with smiling eyes
beaming_face_with_smiling_eyes_3.png,Google,😁,beaming face with smiling eyes
beaming_face_with_smiling_eyes_3.png,Facebook,😁,beaming face with smiling eyes
beaming_face_with_smiling_eyes_3.png,Windows,😁,beaming face with smiling eyes
beaming_face_with_smiling_eyes_3.png,Twitter,😁,beaming face with smiling eyes
beaming_face_with_smiling_eyes_3.png,JoyPixels,😁,beaming face with smiling eyes
beaming_face_with_smiling_eyes_3.png,Samsung,😁,beaming face with smiling eyes
grinning_squinting_face_4.png,Apple,😆,grinning squinting face
grinning_squinting_face_4.png,Google,😆,grinning squinting face
grinning_squinting_face_4.png,Facebook,😆,grinning squinting face
grinning_squinting_face_4.png,Windows,😆,grinning squinting face
grinning_squinting_face_4.png,Twitter,😆,grinning squinting face
grinning_squinting_face_4.png,JoyPixels,😆,grinning squinting face
grinning_squinting_face_4.png,Samsung,😆,grinning squinting face
grinning_face_with_sweat_5.png,Apple,😅,grinning face with sweat
grinning_face_with_sweat_5.png,Google,😅,grinning face with sweat
grinning_face_with_sweat_5.png,Facebook,😅,grinning face with sweat
grinning_face_with_sweat_5.png,Windows,😅,grinning face with sweat
grinning_face_with_sweat_5.png,Twitter,😅,grinning face with sweat
grinning_face_with_sweat_5.png,JoyPixels,😅,grinning face with sweat
grinning_face_with_sweat_5.png,Samsung,😅,grinning face with sweat
rolling_on_the_floor_laughing_6.png,Apple,🤣,rolling on the floor laughing
rolling_on_the_floor_laughing_6.png,Google,🤣,rolling on the floor laughing
rolling_on_the_floor_laughing_6.png,Facebook,🤣,rolling on the floor laughing
rolling_on_the_floor_laughing_6.png,Windows,🤣,rolling on the floor laughing
rolling_on_the_floor_laughing_6.png,Twitter,🤣,rolling on the floor laughing
